time,soil_moisture
1594912975.0,0
1594912975.0,0
1594912975.0,0
1594913050.0,0
1594913050.0,0
1594913050.0,0
1594913076.0,0
1594913076.0,0
1594913076.0,0
1594913116.0,0
1594913116.0,0
1594913116.0,0
1594971152.0,0
1594971152.0,0
1594971152.0,0
1595515393.0,0
1595515393.0,0
1595515393.0,0
1595515839.0,0
1595515839.0,0
1595515839.0,0
1595515879.0,0
1595515879.0,0
1595515879.0,0
1595516070.0,0
1595516070.0,0
1595516070.0,0
1595516158.0,0
1595516158.0,0
1595516158.0,0
1595516186.0,0
1595516186.0,0
1595516186.0,0
1599042418.0,0
1599042418.0,0
1599042418.0,0
1599485862.0,0
1599486006.0,0
1599487502.0,0
1599487690.0,0
1599562983.0,0
1599651215.0,0
1600348000.0,0
1600774289.0,0
1602753843.0,0
1602934857.0,0
1602934882.0,0
1603449156.0,0
1604494114.0,0
1606748468.0,0
1606988094.0,0
1607011941.0,0
1607011941.0,0
1609008578.0,1
1609013977.0,2
1609019375.0,3
1609022974.0,4
1609028372.0,5
1609033771.0,6
1609039170.0,7
1609042769.0,8
1609046368.0,9
1609051766.0,10
1609078760.0,9
1609082360.0,8
1609084159.0,6
1609085958.0,0
1609377490.0,1
1609406283.0,0
1609752737.0,0
1609752771.0,0
1609753135.0,0
1609937564.0,0
1609991143.0,1
1609996542.0,2
1610000141.0,3
1610005540.0,4
1610006477.0,4
1610009138.0,5
1610014537.0,6
1610025334.0,5
1610059526.0,6
1610073923.0,7
1610081121.0,8
1610086520.0,9
1610093718.0,10
1610100916.0,11
1610136907.0,12
1610142306.0,13
1610147706.0,14
1610153103.0,15
1610158502.0,16
1610160302.0,15
1610162101.0,16
1610165701.0,17
1610171099.0,18
1610174698.0,19
1610176498.0,20
1610178298.0,22
1610180097.0,23
1610185496.0,25
1610192694.0,24
1610196293.0,23
1610201692.0,22
1610205291.0,21
1610208890.0,20
1610210690.0,19
1610214289.0,18
1610219688.0,17
1610225086.0,16
1610235884.0,15
1610279074.0,16
1610280873.0,15
1610307867.0,16
1610313266.0,17
1610316865.0,18
1610320464.0,19
1610324063.0,20
1610325863.0,21
1610329462.0,22
1610331261.0,23
1610333061.0,24
1610336660.0,27
1610338460.0,29
1610340259.0,31
1610342059.0,33
1610343858.0,35
1610345658.0,37
1610347458.0,39
1610349257.0,42
1610351057.0,44
1610352856.0,46
1610354656.0,47
1610356455.0,49
1610358255.0,50
1610363654.0,49
1610365453.0,48
1610367254.0,47
1610369053.0,46
1610370852.0,45
1610372652.0,44
1610374451.0,42
1610376251.0,41
1610378051.0,39
1610379850.0,37
1610381650.0,36
1610385249.0,37
1610387048.0,40
1610388848.0,43
1610390648.0,47
1610392447.0,51
1610394247.0,56
1610396046.0,62
1610397846.0,74
1610399645.0,92
1610401445.0,122
1610403244.0,189
1610405044.0,237
1610453632.0,221
1610455432.0,204
1610457231.0,190
1610459031.0,177
1610460831.0,164
1610462630.0,154
1610464430.0,144
1610468029.0,127
1610469828.0,119
1610473427.0,47
1610475227.0,23
1610477028.0,14
1610478826.0,10
1610480627.0,3
1610482425.0,2
1610484225.0,3
1610487824.0,2
1610511219.0,3
1610532813.0,2
1610552610.0,3
1610558338.0,3
1610577804.0,2
1610583203.0,3
1610585002.0,2
1610624593.0,1
1610626392.0,2
1610629991.0,1
1610637190.0,2
1615406048.0,13
1615406048.0,13
1615406048.0,13
1615442039.0,14
1615442039.0,14
1615442039.0,14
1615483429.0,13
1615483429.0,13
1615483429.0,13
