stampm,pressure,dew_point,precipitation,humidity,temperature,wind_bearing,wind_speed,illuminance,pressure_tendency
1594882800.0,1014.8,,0.0,84.0,15.0,,7.0,,
1594882800.0,1014.8,,0.0,84.0,15.0,,7.0,,
1594882800.0,1014.8,,0.0,84.0,15.0,,7.0,,
1594882800.0,1014.8,,0.0,84.0,15.0,,7.0,,
1594882800.0,1014.8,,0.0,84.0,15.0,,7.0,,
1594886400.0,1015.2,,0.0,77.0,16.0,,2.0,,
1594886400.0,1015.2,,0.0,77.0,16.0,,2.0,,
1594886400.0,1015.2,,0.0,77.0,16.0,,2.0,,
1594886400.0,1015.2,,0.0,77.0,16.0,,2.0,,
1594886400.0,1015.2,,0.0,77.0,16.0,,2.0,,
1594886400.0,1015.2,,0.0,77.0,16.0,,2.0,,
1594886400.0,1015.2,,0.0,77.0,16.0,,2.0,,
1594886400.0,1015.2,,0.0,77.0,16.0,,2.0,,
1594886400.0,1015.2,,0.0,77.0,16.0,,2.0,,
1594886400.0,1015.2,,0.0,77.0,16.0,,2.0,,
1594886400.0,1015.2,,0.0,77.0,16.0,,2.0,,
1594886400.0,1015.2,,0.0,77.0,16.0,,2.0,,
1594890000.0,1015.3,,0.0,71.0,17.0,,5.0,,
1594890000.0,1015.3,,0.0,71.0,17.0,,5.0,,
1594890000.0,1015.3,,0.0,71.0,17.0,,5.0,,
1594890000.0,1015.3,,0.0,71.0,17.0,,5.0,,
1594890000.0,1015.3,,0.0,71.0,17.0,,5.0,,
1594890000.0,1015.3,,0.0,71.0,17.0,,5.0,,
1594890000.0,1015.3,,0.0,71.0,17.0,,5.0,,
1594890000.0,1015.3,,0.0,71.0,17.0,,5.0,,
1594890000.0,1015.3,,0.0,71.0,17.0,,5.0,,
1594890000.0,1015.3,,0.0,71.0,17.0,,5.0,,
1594890000.0,1015.3,,0.0,71.0,17.0,,5.0,,
1594890000.0,1015.3,,0.0,71.0,17.0,,5.0,,
1594893600.0,1015.6,,0.0,64.0,19.0,,6.0,,
1594893600.0,1015.6,,0.0,64.0,19.0,,6.0,,
1594893600.0,1015.6,,0.0,64.0,19.0,,6.0,,
1594893600.0,1015.6,,0.0,64.0,19.0,,6.0,,
1594893600.0,1015.6,,0.0,64.0,19.0,,6.0,,
1594893600.0,1015.6,,0.0,64.0,19.0,,6.0,,
1594893600.0,1015.6,,0.0,64.0,19.0,,6.0,,
1594893600.0,1015.6,,0.0,64.0,19.0,,6.0,,
1594893600.0,1015.6,,0.0,64.0,19.0,,6.0,,
