time,soil_moisture
1594912975.0,0
1594912975.0,0
1594912975.0,0
1594913050.0,0
1594913050.0,0
1594913050.0,0
1594913076.0,0
1594913076.0,0
1594913076.0,0
1594913116.0,0
1594913116.0,0
1594913116.0,0
1594971152.0,0
1594971152.0,0
1594971152.0,0
1595340551.0,128429
1595340551.0,128429
1595340551.0,128429
1595349549.0,139706
1595349549.0,139706
1595349549.0,139706
1595352549.0,11903
1595352549.0,11903
1595352549.0,11903
1595353148.0,11276
1595353148.0,11276
1595353148.0,11276
1595378944.0,10650
1595378944.0,10650
1595378944.0,10650
1595380144.0,11276
1595380144.0,11276
1595380144.0,11276
1595385543.0,10650
1595385543.0,10650
1595385543.0,10650
1595386143.0,11276
1595386143.0,11276
1595386143.0,11276
1595386742.0,10650
1595386742.0,10650
1595386742.0,10650
1595387342.0,11276
1595387342.0,11276
1595387342.0,11276
1595410738.0,23179
1595410738.0,23179
1595410738.0,23179
1595411338.0,23806
1595411338.0,23806
1595411338.0,23806
1595411938.0,23179
1595411938.0,23179
1595411938.0,23179
1595414338.0,23806
1595414338.0,23806
1595414338.0,23806
1595415537.0,35083
1595415537.0,35083
1595415537.0,35083
1595416737.0,46986
1595416737.0,46986
1595416737.0,46986
1595420336.0,58263
1595420336.0,58263
1595420336.0,58263
1595423336.0,70166
1595423336.0,70166
1595423336.0,70166
1595425735.0,82069
1595425735.0,82069
1595425735.0,82069
1595515393.0,0
1595515393.0,0
1595515393.0,0
1595515839.0,0
1595515839.0,0
1595515839.0,0
1595515879.0,0
1595515879.0,0
1595515879.0,0
1595516070.0,0
1595516070.0,0
1595516070.0,0
1595519485.0,186066
1595519485.0,186066
1595519485.0,186066
1595520085.0,185439
1595520085.0,185439
1595520085.0,185439
1595521285.0,185439
1595521285.0,185439
1595521285.0,185439
1595521885.0,185439
1595521885.0,185439
1595521885.0,185439
1595522485.0,185439
1595522485.0,185439
1595522485.0,185439
1595524284.0,186066
1595524284.0,186066
1595524284.0,186066
1595524884.0,185439
1595524884.0,185439
1595524884.0,185439
1595526684.0,185439
1595526684.0,185439
1595526684.0,185439
1595527884.0,185439
1595527884.0,185439
1595527884.0,185439
1595528484.0,185439
1595528484.0,185439
1595528484.0,185439
1595529683.0,185439
1595529683.0,185439
1595529683.0,185439
1595531483.0,185439
1595531483.0,185439
1595531483.0,185439
1595532083.0,185439
1595532083.0,185439
1595532083.0,185439
1595532683.0,185439
1595532683.0,185439
1595532683.0,185439
1595533882.0,185439
1595533882.0,185439
1595533882.0,185439
1595536282.0,196716
1595536282.0,196716
1595536282.0,196716
1595538082.0,196716
1595538082.0,196716
1595538082.0,196716
1595539281.0,196716
1595539281.0,196716
1595539281.0,196716
1595541081.0,196716
1595541081.0,196716
1595541081.0,196716
1595542281.0,196716
1595542281.0,196716
1595542281.0,196716
1595542881.0,196716
1595542881.0,196716
1595542881.0,196716
1595544081.0,196716
1595544081.0,196716
1595544081.0,196716
1595545880.0,196716
1595545880.0,196716
1595545880.0,196716
1595546480.0,196716
1595546480.0,196716
1595546480.0,196716
1595548280.0,196716
1595548280.0,196716
1595548280.0,196716
1595548879.0,196716
1595548879.0,196716
1595548879.0,196716
1595550079.0,196716
1595550079.0,196716
1595550079.0,196716
1595550679.0,196716
1595550679.0,196716
1595550679.0,196716
1595551279.0,196716
1595551279.0,196716
1595551279.0,196716
1595552479.0,196716
1595552479.0,196716
1595552479.0,196716
1595553079.0,196716
1595553079.0,196716
1595553079.0,196716
1595553679.0,196716
