time,soil_moisture
1594912975.0,0
1594912975.0,0
1594912975.0,0
1594913050.0,0
1594913050.0,0
1594913050.0,0
1594913076.0,0
1594913076.0,0
1594913076.0,0
1594913116.0,0
1594913116.0,0
1594913116.0,0
1594971152.0,0
1594971152.0,0
1594971152.0,0
1595340532.0,196090
1595340532.0,196090
1595340532.0,196090
1595347130.0,207366
1595347130.0,207366
1595347130.0,207366
1595352529.0,10023
1595352529.0,10023
1595352529.0,10023
1595399921.0,21927
1595399921.0,21927
1595399921.0,21927
1595401121.0,33830
1595401121.0,33830
1595401121.0,33830
1595402320.0,45733
1595402320.0,45733
1595402320.0,45733
1595402920.0,57010
1595402920.0,57010
1595402920.0,57010
1595404120.0,68913
1595404120.0,68913
1595404120.0,68913
1595404720.0,80816
1595404720.0,80816
1595404720.0,80816
1595405320.0,92093
1595405320.0,92093
1595405320.0,92093
1595405920.0,103996
1595405920.0,103996
1595405920.0,103996
1595406520.0,115273
1595406520.0,115273
1595406520.0,115273
1595407720.0,127176
1595407720.0,127176
1595407720.0,127176
1595410719.0,138453
1595410719.0,138453
1595410719.0,138453
1595411919.0,139079
1595411919.0,139079
1595411919.0,139079
1595413119.0,138453
1595413119.0,138453
1595413119.0,138453
1595413718.0,150356
1595413718.0,150356
1595413718.0,150356
1595416718.0,161633
1595416718.0,161633
1595416718.0,161633
1595417318.0,162259
1595417318.0,162259
1595417318.0,162259
1595417918.0,161633
1595417918.0,161633
1595417918.0,161633
1595419717.0,162259
1595419717.0,162259
1595419717.0,162259
1595420317.0,173536
1595420317.0,173536
1595420317.0,173536
1595423317.0,184813
1595423317.0,184813
1595423317.0,184813
1595515393.0,0
1595515393.0,0
1595515393.0,0
1595515839.0,0
1595515839.0,0
1595515839.0,0
1595515879.0,0
1595515879.0,0
1595515879.0,0
1595516070.0,0
1595516070.0,0
1595516070.0,0
1595519450.0,243076
1595519450.0,243076
1595519450.0,243076
1595520050.0,243076
1595520050.0,243076
1595520050.0,243076
1595520649.0,243076
1595520649.0,243076
1595520649.0,243076
1595521249.0,243076
1595521249.0,243076
1595521249.0,243076
1595521849.0,243076
1595521849.0,243076
1595521849.0,243076
1595522449.0,243076
1595522449.0,243076
1595522449.0,243076
1595523049.0,254353
1595523049.0,254353
1595523049.0,254353
1595523649.0,254979
1595523649.0,254979
1595523649.0,254979
1595524249.0,254979
1595524249.0,254979
1595524249.0,254979
1595524848.0,254353
1595524848.0,254353
1595524848.0,254353
1595525448.0,254353
1595525448.0,254353
1595525448.0,254353
1595526048.0,254979
1595526048.0,254979
1595526048.0,254979
1595526648.0,254979
1595526648.0,254979
1595526648.0,254979
1595527248.0,254979
1595527248.0,254979
1595527248.0,254979
1595527848.0,254979
1595527848.0,254979
1595527848.0,254979
1595528448.0,266256
1595528448.0,266256
1595528448.0,266256
1595529047.0,266256
1595529047.0,266256
1595529047.0,266256
1595529647.0,266256
1595529647.0,266256
1595529647.0,266256
1595530247.0,266256
1595530247.0,266256
1595530247.0,266256
1595531447.0,266256
1595531447.0,266256
1595531447.0,266256
1595532047.0,266256
1595532047.0,266256
1595532047.0,266256
1595532647.0,266256
1595532647.0,266256
1595532647.0,266256
1595533247.0,266256
1595533247.0,266256
1595533247.0,266256
1595533846.0,266256
1595533846.0,266256
1595533846.0,266256
1595534446.0,277533
1595534446.0,277533
1595534446.0,277533
1595535046.0,277533
1595535046.0,277533
1595535046.0,277533
1595535646.0,277533
1595535646.0,277533
1595535646.0,277533
1595536246.0,277533
