time,value
1606387262.0,9.0
1606389062.0,9.0
1606390861.0,9.0
1606391292.0,9.0
1606392661.0,9.0
1606394461.0,9.0
1606396260.0,9.0
1606398060.0,9.0
1606399859.0,9.0
1606401659.0,9.0
1606405307.0,9.0
1606405309.0,9.0
1606407058.0,9.0
1606408857.0,9.0
1606410657.0,9.0
1606412456.0,9.0
1606414256.0,9.0
1606416055.0,9.0
1606417855.0,9.0
1606419655.0,9.0
1606421454.0,9.0
1606423254.0,9.0
1606425053.0,9.0
1606426853.0,9.0
1606428652.0,9.0
1606430452.0,10.0
1606432251.0,10.0
1606434051.0,10.0
1606435851.0,10.0
1606437650.0,10.0
1606439450.0,10.0
1606441249.0,10.0
1606443049.0,10.0
1606444848.0,10.0
1606446648.0,10.0
1606448447.0,10.0
1606450247.0,10.0
1606452047.0,10.0
1606455646.0,10.0
1606457445.0,10.0
1606459245.0,10.0
1606461044.0,10.0
1606462844.0,10.0
1606464644.0,10.0
1606468243.0,10.0
1606470042.0,10.0
1606471842.0,10.0
1606475441.0,10.0
1606477240.0,10.0
1606479040.0,10.0
1606480839.0,10.0
1606482639.0,10.0
1606484439.0,10.0
1606486238.0,10.0
1606488038.0,10.0
1606489837.0,10.0
1606491637.0,10.0
1606493437.0,10.0
1606495236.0,10.0
1606497036.0,10.0
1606498835.0,10.0
1606500635.0,10.0
1606502434.0,10.0
1606504234.0,10.0
1606506033.0,10.0
1606507833.0,10.0
1606509632.0,10.0
1606511432.0,10.0
1606515031.0,10.0
1606516831.0,10.0
1606518630.0,10.0
1606520430.0,10.0
1606522229.0,10.0
1606524029.0,10.0
1606525828.0,10.0
1606527628.0,10.0
1606529427.0,10.0
1606534826.0,10.0
1606536626.0,10.0
1606538425.0,10.0
1606540225.0,10.0
1606543824.0,10.0
1606547423.0,10.0
1606549223.0,10.0
1606551022.0,10.0
1606552822.0,10.0
1606554621.0,10.0
1606556421.0,10.0
1606558220.0,10.0
1606560020.0,10.0
1606561819.0,10.0
1606563619.0,10.0
1606565419.0,10.0
1606567218.0,10.0
1606569018.0,10.0
1606570817.0,10.0
1606572617.0,10.0
1606574416.0,10.0
1606576216.0,11.0
1606578015.0,11.0
1606579815.0,11.0
1606581615.0,11.0
1606583414.0,11.0
1606587013.0,11.0
1606588813.0,11.0
1606590612.0,11.0
1606592412.0,11.0
1606594211.0,11.0
1606596011.0,11.0
1606597811.0,11.0
1606599610.0,11.0
1606601410.0,11.0
1606605009.0,11.0
1606606808.0,11.0
1606608608.0,11.0
1606610407.0,11.0
1606612207.0,11.0
1606614006.0,11.0
1606615806.0,11.0
1606617606.0,11.0
1606619405.0,11.0
1606621205.0,11.0
1606623004.0,11.0
1606624804.0,11.0
1606626604.0,11.0
1606628403.0,11.0
1606630203.0,11.0
1606632002.0,11.0
1606633802.0,11.0
1606635601.0,11.0
1606637401.0,11.0
1606639200.0,11.0
1606641000.0,11.0
1606642799.0,11.0
1606644599.0,11.0
1606646399.0,11.0
1606649998.0,11.0
1606651797.0,11.0
1606653597.0,11.0
1606655396.0,11.0
1606657196.0,11.0
1606658996.0,11.0
1606660795.0,11.0
1606664394.0,11.0
1606666194.0,11.0
1606667993.0,11.0
1606669793.0,11.0
1606671593.0,11.0
1606673392.0,12.0
1606675192.0,12.0
1606676991.0,12.0
1606678791.0,12.0
1606680590.0,12.0
1606685989.0,12.0
1606687788.0,12.0
1606689588.0,12.0
1606691388.0,12.0
1606693187.0,12.0
1606694987.0,12.0
1606696786.0,12.0
1606698586.0,12.0
1606700385.0,12.0
1606702185.0,12.0
1606703985.0,12.0
1606705784.0,12.0
1606707584.0,12.0
1606709383.0,12.0
1606711183.0,12.0
1606712982.0,12.0
1606714782.0,12.0
1606716582.0,12.0
1606720181.0,12.0
1606721980.0,12.0
1606725579.0,12.0
1606727379.0,12.0
1606729179.0,12.0
1606730978.0,12.0
1606732778.0,12.0
1606734577.0,12.0
1606736377.0,12.0
1606738176.0,12.0
1606739976.0,12.0
1606741776.0,12.0
1606743575.0,12.0
1606745375.0,12.0
1606747174.0,12.0
1606748974.0,12.0
1606750774.0,12.0
1606752573.0,12.0
1606754373.0,12.0
1606755356.0,12.0
1606756172.0,13.0
1606757972.0,13.0
1606759771.0,13.0
1606761571.0,13.0
1606763371.0,13.0
1606765170.0,13.0
1606766970.0,13.0
1606768769.0,13.0
1606770569.0,13.0
1606772369.0,13.0
1606774168.0,13.0
1606775968.0,13.0
1606777767.0,13.0
1606779567.0,13.0
1606781366.0,13.0
1606783166.0,13.0
1606784966.0,13.0
1606788565.0,13.0
1606790364.0,13.0
1606792164.0,13.0
1606793963.0,13.0
1606795763.0,13.0
1606797563.0,13.0
1606801162.0,13.0
1606802961.0,13.0
1606804761.0,13.0
1606806561.0,13.0
1606808360.0,12.0
1606810160.0,12.0
1606815558.0,12.0
1606817358.0,12.0
1606819158.0,12.0
1606820957.0,12.0
1606822757.0,12.0
1606824556.0,12.0
1606826356.0,12.0
1606831755.0,12.0
1606835354.0,12.0
1606837153.0,12.0
1606838953.0,12.0
1606842552.0,12.0
1606844352.0,12.0
1606846151.0,12.0
1606847951.0,11.0
1606849750.0,11.0
1606853349.0,11.0
1606856949.0,11.0
1606858748.0,12.0
1606860548.0,12.0
1606862347.0,12.0
1606864147.0,11.0
1606865946.0,11.0
1606867746.0,11.0
1606869546.0,11.0
1606871345.0,11.0
1606873145.0,11.0
1606874944.0,11.0
1606876744.0,11.0
1606878543.0,11.0
1606880343.0,11.0
1606882142.0,11.0
1606883942.0,11.0
1606885742.0,11.0
1606887541.0,11.0
1606889341.0,11.0
1606891140.0,11.0
1606892940.0,11.0
1606894739.0,11.0
1606896539.0,11.0
1606898338.0,12.0
1606900138.0,12.0
1606901938.0,12.0
1606903737.0,12.0
1606905537.0,12.0
1606907336.0,12.0
1606909136.0,12.0
1606910935.0,12.0
1606912735.0,12.0
1606914534.0,12.0
1606916334.0,12.0
1606918134.0,12.0
1606919933.0,12.0
1606921733.0,12.0
1606923532.0,12.0
1606925332.0,12.0
1606927131.0,12.0
1606928931.0,12.0
1606930730.0,12.0
1606932530.0,12.0
1606934330.0,12.0
1606936129.0,12.0
1606937929.0,12.0
1606939728.0,12.0
1606943327.0,12.0
1606945127.0,12.0
1606946926.0,12.0
1606948726.0,12.0
1606950525.0,12.0
1606952325.0,12.0
1606954125.0,12.0
1606955924.0,12.0
