time,soil_moisture
1594912975.0,0
1594912975.0,0
1594912975.0,0
1594913050.0,0
1594913050.0,0
1594913050.0,0
1594913076.0,0
1594913076.0,0
1594913076.0,0
1594913116.0,0
1594913116.0,0
1594913116.0,0
1594971152.0,0
1594971152.0,0
1594971152.0,0
1595340121.0,301339
1595340121.0,301339
1595340121.0,301339
1595353919.0,10023
1595353919.0,10023
1595353919.0,10023
1595394111.0,21927
1595394111.0,21927
1595394111.0,21927
1595398310.0,33830
1595398310.0,33830
1595398310.0,33830
1595401909.0,45733
1595401909.0,45733
1595401909.0,45733
1595402509.0,45106
1595402509.0,45106
1595402509.0,45106
1595403109.0,45733
1595403109.0,45733
1595403109.0,45733
1595403709.0,45106
1595403709.0,45106
1595403709.0,45106
1595404909.0,45733
1595404909.0,45733
1595404909.0,45733
1595406109.0,57010
1595406109.0,57010
1595406109.0,57010
1595409108.0,68913
1595409108.0,68913
1595409108.0,68913
1595413307.0,80816
1595413307.0,80816
1595413307.0,80816
1595415707.0,92093
1595415707.0,92093
1595415707.0,92093
1595419906.0,103996
1595419906.0,103996
1595419906.0,103996
1595422905.0,115273
1595422905.0,115273
1595422905.0,115273
1595424105.0,115899
1595424105.0,115899
1595424105.0,115899
1595515393.0,0
1595515393.0,0
1595515393.0,0
1595515839.0,0
1595515839.0,0
1595515839.0,0
1595515879.0,0
1595515879.0,0
1595515879.0,0
1595516070.0,0
1595516070.0,0
1595516070.0,0
1596738645.0,0
1596738645.0,0
1596738645.0,0
1596775336.0,0
1596775336.0,0
1596775336.0,0
1596776240.0,0
1596776240.0,0
1596776240.0,0
1597058601.0,0
1597058601.0,0
1597058601.0,0
1597844032.0,0
1597844032.0,0
1597844032.0,0
1597844415.0,0
1597844415.0,0
1597844415.0,0
1598177259.0,0
1598177259.0,0
1598177259.0,0
1599031400.0,194
1599031400.0,194
1599031400.0,194
1599031492.0,194
1599031492.0,194
1599031492.0,194
1599031548.0,194
1599031548.0,194
1599031548.0,194
1599031965.0,193
1599031965.0,193
1599031965.0,193
1599032299.0,192
1599032299.0,192
1599032299.0,192
1599032898.0,189
1599032898.0,189
1599032898.0,189
1599033497.0,187
1599033497.0,187
1599033497.0,187
1599034097.0,183
1599034097.0,183
1599034097.0,183
1599034697.0,182
1599034697.0,182
1599034697.0,182
1599035297.0,178
1599035297.0,178
1599035297.0,178
1599035897.0,178
1599035897.0,178
1599035897.0,178
1599036498.0,177
1599036498.0,177
1599036498.0,177
1599037097.0,175
1599037097.0,175
1599037097.0,175
1599038297.0,177
1599038297.0,177
1599038297.0,177
1599040097.0,181
1599040097.0,181
1599040097.0,181
1599041897.0,185
1599041897.0,185
1599041897.0,185
1599042497.0,185
1599042497.0,185
1599042497.0,185
1599043096.0,187
1599043096.0,187
1599043096.0,187
1599044296.0,187
1599044897.0,189
1599046095.0,191
1599046696.0,192
1599047295.0,194
1599047895.0,194
1599048495.0,194
1599049096.0,195
1599049695.0,195
1599050295.0,195
1599050895.0,195
1599051495.0,195
1599052095.0,196
1599052695.0,196
1599053294.0,196
1599053895.0,195
1599054495.0,195
1599055095.0,195
1599055695.0,194
1599056294.0,194
1599056894.0,194
1599058094.0,194
1599058694.0,194
1599059294.0,194
1599059894.0,192
1599060494.0,192
1599061094.0,192
1599061693.0,192
1599062893.0,192
1599063493.0,192
1599064093.0,192
1599064693.0,192
1599065293.0,192
1599065893.0,193
1599066493.0,193
1599067092.0,194
1599067692.0,191
1599068292.0,192
1599068892.0,192
1599069492.0,193
