time,soil_moisture
1594295060.0,
1594295338.0,
1594295338.0,
1594366698.0,
1594366698.0,
1594792763.0,
1594792763.0,
1594792778.0,
1594792778.0,
1594817124.0,
1594817124.0,
1594817124.0,
1594817135.0,
1594817135.0,
1594817135.0,
1594912975.0,0
1594912975.0,0
1594912975.0,0
1594913050.0,0
1594913050.0,0
1594913050.0,0
1594913076.0,0
1594913076.0,0
1594913076.0,0
1594913116.0,0
1594913116.0,0
1594913116.0,0
1594971152.0,0
1594971152.0,0
1594971152.0,0
1595334560.0,0
1595334560.0,0
1595334560.0,0
1595335160.0,0
1595335160.0,0
1595335160.0,0
1595335760.0,0
1595335760.0,0
1595335760.0,0
1595336360.0,0
1595336360.0,0
1595336360.0,0
1595336959.0,0
1595336959.0,0
1595336959.0,0
1595337559.0,0
1595337559.0,0
1595337559.0,0
1595338159.0,0
1595338159.0,0
1595338159.0,0
1595338759.0,0
1595338759.0,0
1595338759.0,0
1595515393.0,0
1595515393.0,0
1595515393.0,0
1595515839.0,0
1595515839.0,0
1595515839.0,0
1595515879.0,0
1595515879.0,0
1595515879.0,0
1595516070.0,0
1595516070.0,0
1595516070.0,0
1596268087.0,0
1596268087.0,0
1596268087.0,0
1596268242.0,0
1596268242.0,0
1596268242.0,0
1596268295.0,0
1596268295.0,0
1596268295.0,0
1596738081.0,0
1596738081.0,0
1596738081.0,0
1597843999.0,0
1597843999.0,0
1597843999.0,0
1597844370.0,0
1597844370.0,0
1597844370.0,0
1598177291.0,0
1598177291.0,0
1598177291.0,0
1599022914.0,55
1599022914.0,55
1599022914.0,55
1599022949.0,55
1599022949.0,55
1599022949.0,55
1599022988.0,55
1599022988.0,55
1599022988.0,55
1599023028.0,56
1599023028.0,56
1599023028.0,56
1599023068.0,56
1599023068.0,56
1599023068.0,56
1599023108.0,57
1599023108.0,57
1599023108.0,57
1599023661.0,57
1599023661.0,57
1599023661.0,57
1599023832.0,57
1599023832.0,57
1599023832.0,57
1599024432.0,57
1599024432.0,57
1599024432.0,57
1599025032.0,57
1599025032.0,57
1599025032.0,57
1599025631.0,56
1599025631.0,56
1599025631.0,56
1599026231.0,56
1599026231.0,56
1599026231.0,56
1599026831.0,56
1599026831.0,56
1599026831.0,56
1599027431.0,56
1599027431.0,56
1599027431.0,56
1599028031.0,56
1599028031.0,56
1599028031.0,56
1599028631.0,56
1599028631.0,56
1599028631.0,56
1599029231.0,55
1599029231.0,55
1599029231.0,55
1599029831.0,55
1599029831.0,55
1599029831.0,55
1599030431.0,55
1599030431.0,55
1599030431.0,55
1599031030.0,56
1599031030.0,56
1599031030.0,56
1599031630.0,56
1599031630.0,56
1599031630.0,56
1599032230.0,56
1599032230.0,56
1599032230.0,56
1599032830.0,56
1599032830.0,56
1599032830.0,56
1599033430.0,55
1599033430.0,55
1599033430.0,55
1599034030.0,55
1599034030.0,55
1599034030.0,55
1599034630.0,55
1599034630.0,55
1599034630.0,55
1599035230.0,55
1599035230.0,55
1599035230.0,55
1599036429.0,54
1599036429.0,54
1599036429.0,54
1599037029.0,54
1599037029.0,54
1599037029.0,54
