time,value
1616770504.0,
1616770602.0,
1616770602.0,
1617912326.0,181.0
1617913526.0,181.0
1617914726.0,181.0
1617915926.0,181.0
1617917126.0,181.0
1617918327.0,181.0
1617919527.0,181.0
1617920727.0,181.0
1617921927.0,181.0
1617923126.0,181.0
1617924327.0,181.0
1617925527.0,181.0
1617926727.0,181.0
1617927927.0,181.0
1617929127.0,181.0
1617930327.0,181.0
1617931526.0,181.0
1617932727.0,181.0
1617933927.0,181.0
1617935127.0,181.0
1617936327.0,181.0
1617937527.0,181.0
1617938728.0,181.0
1617939928.0,181.0
1617941127.0,181.0
1617942327.0,181.0
1617943527.0,180.0
1617945927.0,181.0
1617947128.0,181.0
1617948328.0,181.0
1617949527.0,181.0
1617950728.0,174.0
1617951927.0,174.0
1617953127.0,175.0
1617954329.0,176.0
1617955529.0,176.0
1617956728.0,177.0
1617957928.0,177.0
1617959128.0,177.0
1617960328.0,177.0
1617961529.0,177.0
1617962729.0,177.0
1617963928.0,177.0
1617965128.0,178.0
1617966328.0,178.0
1617967529.0,178.0
1617968728.0,178.0
1617969928.0,178.0
1617971128.0,178.0
1617972328.0,179.0
1617973528.0,179.0
1617975928.0,179.0
1617977128.0,179.0
1617978329.0,179.0
1617979529.0,179.0
1617980729.0,180.0
1617981929.0,180.0
1617983128.0,180.0
1617984329.0,180.0
1617985529.0,180.0
1617986729.0,180.0
1617987929.0,180.0
1617989129.0,180.0
1617990329.0,180.0
1617991529.0,181.0
1617992729.0,181.0
1617993929.0,181.0
1617995129.0,181.0
1617996329.0,181.0
1617997529.0,181.0
1617998729.0,181.0
1617999929.0,181.0
1618001129.0,181.0
1618002329.0,181.0
1618003529.0,181.0
1618004729.0,181.0
1618005929.0,181.0
1618007129.0,181.0
1618008329.0,181.0
1618009530.0,181.0
1618010730.0,181.0
1618011930.0,181.0
1618013130.0,181.0
1618015529.0,181.0
1618016730.0,181.0
1618017930.0,181.0
1618019130.0,181.0
1618020331.0,181.0
1618021530.0,181.0
1618022730.0,181.0
1618023930.0,181.0
1618025130.0,181.0
1618026330.0,181.0
1618027530.0,181.0
1618028730.0,181.0
1618031130.0,181.0
1618032331.0,181.0
1618033530.0,181.0
1618034730.0,181.0
1618035931.0,181.0
1618037130.0,181.0
1618038331.0,181.0
1618039531.0,181.0
1618040731.0,181.0
1618041930.0,181.0
1618043130.0,182.0
1618044331.0,182.0
1618045531.0,182.0
1618046731.0,182.0
1618047931.0,182.0
1618049130.0,182.0
1618050331.0,182.0
1618052731.0,182.0
1618053931.0,182.0
1618055131.0,182.0
1618056331.0,182.0
1618057531.0,182.0
1618059931.0,182.0
1618061131.0,182.0
1618062331.0,182.0
1618063531.0,182.0
1618064731.0,182.0
1618065931.0,182.0
1618067131.0,182.0
1618068331.0,182.0
1618069532.0,182.0
1618070731.0,182.0
1618071932.0,182.0
1618073132.0,182.0
1618074332.0,182.0
1618075532.0,182.0
1618076732.0,183.0
1618077932.0,183.0
1618079131.0,183.0
1618080332.0,183.0
1618081532.0,183.0
1618082732.0,183.0
1618083932.0,183.0
1618085131.0,183.0
1618086332.0,183.0
1618087532.0,183.0
1618088732.0,183.0
1618089932.0,183.0
1618091133.0,183.0
1618092333.0,183.0
1618093532.0,183.0
1618094732.0,183.0
1618095932.0,183.0
1618097132.0,183.0
1618098332.0,183.0
1618099532.0,183.0
1618100732.0,183.0
1618101933.0,183.0
1618103132.0,183.0
